vertices,edges,heap_median,naive_median,heap_mean,naive_mean,heap_stdev,naive_stdev
50,585,0.00018854999962059082,0.00016746799974498572,0.00019368559997019475,0.00016817300002003321,1.4818880818441464e-05,3.0103717046208077e-06
100,2497,0.0004967340000803233,0.000558719000309793,0.0004992533999939042,0.0005575176001002546,1.893544514624913e-05,4.579423425117275e-06
200,9985,0.0014162089996716531,0.0021082860002934467,0.0014173835998917638,0.002112739400126884,2.215756449104584e-05,2.1581147326033225e-05
400,40240,0.005248001000381919,0.008651407999877847,0.005293093399995996,0.008678370199959318,0.0001461277820245722,0.00013508637461114153
800,159894,0.02012877200013463,0.035504549000052066,0.020049569000002522,0.03628491760000543,0.00033103219349886205,0.0020091082983144555
