vertices,edges,heap_median,naive_median,heap_mean,naive_mean,heap_stdev,naive_stdev
100,300,0.00030453999988822034,0.0004518630003076396,0.00031017000001156705,0.0004561388000183797,1.660323588996151e-05,9.380417186247838e-06
200,600,0.00063203199988493,0.0015796909997334296,0.0006321888000456966,0.0015790892000040913,1.943320357167982e-05,1.0462978249648107e-05
400,1200,0.0015927629997349868,0.005997158999889507,0.0016017214000385138,0.0060004512000887186,3.3226799740906443e-05,4.3770047517400804e-05
800,2400,0.003650040000138688,0.024032925000028627,0.003658844599976874,0.023999578599978123,8.006323975194018e-05,0.00017948640037891348
1600,4800,0.007958354000038526,0.09760558700008914,0.00798684380006307,0.09743149699997958,8.22237319972715e-05,0.0003974456555189564
3200,9600,0.01806087099976139,0.4003824579999673,0.018420095600049535,0.40042652360007197,0.0010780930766571676,0.0007403918823709047
